Horn,Plane,Frequency_GHz,Band_Low_GHz,Band_High_GHz,Angle_Deg,Raw_Band_Mean_S21_dB,Boresight_Band_Mean_S21_dB,Normalized_S21_dB,N_Frequency_Samples
HORN5,E,7,6.8,7.8,120,-81.81998473634374,-58.72156279198125,-23.098421944362492,16
HORN5,E,7,6.8,7.8,130,-84.45498869104375,-58.72156279198125,-25.733425899062503,16
HORN5,E,7,6.8,7.8,140,-85.75044066691251,-58.72156279198125,-27.02887787493126,16
HORN5,E,7,6.8,7.8,150,-84.7331633544125,-58.72156279198125,-26.011600562431248,16
HORN5,E,7,6.8,7.8,160,-86.6112222971375,-58.72156279198125,-27.889659505156253,16
HORN5,E,7,6.8,7.8,170,-86.055761882225,-58.72156279198125,-27.33419909024375,16
HORN5,E,7,6.8,7.8,180,-84.55124703203751,-58.72156279198125,-25.82968424005626,16
HORN6,E,7,6.8,7.8,0,-61.75784020266875,-61.75784020266875,0.0,16
HORN6,E,7,6.8,7.8,10,-64.84805534575625,-61.75784020266875,-3.090215143087498,16
HORN6,E,7,6.8,7.8,20,-71.39585168880625,-61.75784020266875,-9.638011486137493,16
HORN6,E,7,6.8,7.8,30,-74.7839034268,-61.75784020266875,-13.026063224131242,16
HORN6,E,7,6.8,7.8,40,-76.69137649322501,-61.75784020266875,-14.933536290556255,16
HORN6,E,7,6.8,7.8,50,-84.96326150406875,-61.75784020266875,-23.2054213014,16
HORN6,E,7,6.8,7.8,60,-84.942693564375,-61.75784020266875,-23.184853361706253,16
HORN6,E,7,6.8,7.8,70,-84.3044161228,-61.75784020266875,-22.546575920131254,16
HORN6,E,7,6.8,7.8,80,-86.36003612488125,-61.75784020266875,-24.602195922212495,16
HORN6,E,7,6.8,7.8,90,-86.25840534055001,-61.75784020266875,-24.50056513788126,16
HORN6,E,7,6.8,7.8,100,-85.36080701438749,-61.75784020266875,-23.602966811718737,16
HORN6,E,7,6.8,7.8,110,-91.01723904523749,-61.75784020266875,-29.259398842568736,16
HORN6,E,7,6.8,7.8,120,-79.2549249702125,-61.75784020266875,-17.497084767543747,16
HORN6,E,7,6.8,7.8,130,-84.6696486342625,-61.75784020266875,-22.911808431593748,16
HORN6,E,7,6.8,7.8,140,-77.29684032143125,-61.75784020266875,-15.539000118762495,16
HORN6,E,7,6.8,7.8,150,-76.83134563033124,-61.75784020266875,-15.07350542766249,16
HORN6,E,7,6.8,7.8,160,-88.8171574334375,-61.75784020266875,-27.059317230768748,16
HORN6,E,7,6.8,7.8,170,-83.66760408849375,-61.75784020266875,-21.909763885824994,16
HORN6,E,7,6.8,7.8,180,-84.52791419310626,-61.75784020266875,-22.770073990437503,16
HORN7,E,7,6.8,7.8,0,-62.14591837629375,-62.14591837629375,0.0,16
HORN7,E,7,6.8,7.8,10,-65.54030931445625,-62.14591837629375,-3.394390938162502,16
HORN7,E,7,6.8,7.8,20,-72.05167889134376,-62.14591837629375,-9.905760515050005,16
HORN7,E,7,6.8,7.8,30,-75.424449437475,-62.14591837629375,-13.278531061181255,16
HORN7,E,7,6.8,7.8,40,-75.84119771079375,-62.14591837629375,-13.6952793345,16
HORN7,E,7,6.8,7.8,50,-85.7752810864375,-62.14591837629375,-23.629362710143752,16
HORN7,E,7,6.8,7.8,60,-86.56283746338124,-62.14591837629375,-24.416919087087493,16
HORN7,E,7,6.8,7.8,70,-85.286317295275,-62.14591837629375,-23.140398918981248,16
HORN7,E,7,6.8,7.8,80,-84.96819936298749,-62.14591837629375,-22.82228098669374,16
HORN7,E,7,6.8,7.8,90,-87.231167394725,-62.14591837629375,-25.085249018431256,16
HORN7,E,7,6.8,7.8,100,-86.26331883585625,-62.14591837629375,-24.117400459562504,16
HORN7,E,7,6.8,7.8,110,-89.16134770261249,-62.14591837629375,-27.01542932631874,16
HORN7,E,7,6.8,7.8,120,-80.6102296725875,-62.14591837629375,-18.464311296293744,16
HORN7,E,7,6.8,7.8,130,-80.73086953883124,-62.14591837629375,-18.584951162537493,16
HORN7,E,7,6.8,7.8,140,-83.28390023509375,-62.14591837629375,-21.137981858800003,16
HORN7,E,7,6.8,7.8,150,-86.13002167279376,-62.14591837629375,-23.98410329650001,16
HORN7,E,7,6.8,7.8,160,-85.65981433766875,-62.14591837629375,-23.513895961375,16
