Horn,Plane,Frequency_GHz,Band_Low_GHz,Band_High_GHz,Angle_Deg,Raw_Band_Mean_S21_dB,Boresight_Band_Mean_S21_dB,Normalized_S21_dB,N_Frequency_Samples
HORN6,H,6,5.8,6.8,100,-82.82758742248666,-62.41639078196666,-20.411196640519996,15
HORN6,H,6,5.8,6.8,110,-83.60065315315333,-62.41639078196666,-21.18426237118667,15
HORN6,H,6,5.8,6.8,120,-84.27501441543333,-62.41639078196666,-21.85862363346667,15
HORN6,H,6,5.8,6.8,130,-83.98434456452667,-62.41639078196666,-21.567953782560004,15
HORN6,H,6,5.8,6.8,140,-84.85454226671331,-62.41639078196666,-22.438151484746648,15
HORN6,H,6,5.8,6.8,150,-85.73630659006666,-62.41639078196666,-23.3199158081,15
HORN6,H,6,5.8,6.8,160,-85.21728586109334,-62.41639078196666,-22.800895079126683,15
HORN6,H,6,5.8,6.8,170,-87.56783151296001,-62.41639078196666,-25.15144073099335,15
HORN6,H,6,5.8,6.8,180,-86.72270253784001,-62.41639078196666,-24.306311755873345,15
HORN7,H,6,5.8,6.8,0,-62.31627074828668,-62.31627074828668,0.0,15
HORN7,H,6,5.8,6.8,10,-62.972739858366666,-62.31627074828668,-0.6564691100799891,15
HORN7,H,6,5.8,6.8,20,-63.39056829250668,-62.31627074828668,-1.074297544220002,15
HORN7,H,6,5.8,6.8,30,-65.28159333825334,-62.31627074828668,-2.965322589966668,15
HORN7,H,6,5.8,6.8,40,-67.62392356941334,-62.31627074828668,-5.307652821126659,15
HORN7,H,6,5.8,6.8,50,-69.52803455963333,-62.31627074828668,-7.21176381134665,15
HORN7,H,6,5.8,6.8,60,-72.20218077271998,-62.31627074828668,-9.885910024433308,15
HORN7,H,6,5.8,6.8,70,-74.91174494397998,-62.31627074828668,-12.595474195693306,15
HORN7,H,6,5.8,6.8,80,-75.94321796342666,-62.31627074828668,-13.626947215139985,15
HORN7,H,6,5.8,6.8,90,-77.97393123178,-62.31627074828668,-15.657660483493324,15
HORN7,H,6,5.8,6.8,100,-80.38444700372,-62.31627074828668,-18.068176255433322,15
HORN7,H,6,5.8,6.8,110,-83.17596104533332,-62.31627074828668,-20.859690297046647,15
HORN7,H,6,5.8,6.8,120,-83.50451009026666,-62.31627074828668,-21.188239341979987,15
HORN7,H,6,5.8,6.8,130,-85.57450408462665,-62.31627074828668,-23.258233336339977,15
HORN7,H,6,5.8,6.8,140,-83.33567822084001,-62.31627074828668,-21.019407472553333,15
HORN7,H,6,5.8,6.8,150,-82.8860880653,-62.31627074828668,-20.569817317013324,15
HORN7,H,6,5.8,6.8,160,-84.87973964730001,-62.31627074828668,-22.563468899013337,15
HORN7,H,6,5.8,6.8,170,-85.20327471008666,-62.31627074828668,-22.887003961799984,15
HORN7,H,6,5.8,6.8,180,-83.56059491514667,-62.31627074828668,-21.24432416685999,15
HORN8,H,6,5.8,6.8,0,-62.55312860991334,-62.55312860991334,0.0,15
HORN8,H,6,5.8,6.8,10,-63.24604643882,-62.55312860991334,-0.6929178289066655,15
HORN8,H,6,5.8,6.8,20,-65.26162766024667,-62.55312860991334,-2.7084990503333373,15
HORN8,H,6,5.8,6.8,30,-66.74341971613333,-62.55312860991334,-4.190291106219995,15
HORN8,H,6,5.8,6.8,40,-67.97957404674666,-62.55312860991334,-5.426445436833326,15
HORN8,H,6,5.8,6.8,50,-70.54595569507335,-62.55312860991334,-7.992827085160009,15
HORN8,H,6,5.8,6.8,60,-72.82264430873333,-62.55312860991334,-10.269515698819994,15
HORN8,H,6,5.8,6.8,70,-75.50472993881334,-62.55312860991334,-12.951601328900004,15
HORN8,H,6,5.8,6.8,80,-78.17669852862667,-62.55312860991334,-15.623569918713336,15
HORN8,H,6,5.8,6.8,90,-80.38475789001998,-62.55312860991334,-17.831629280106647,15
HORN8,H,6,5.8,6.8,100,-83.41031052788666,-62.55312860991334,-20.857181917973328,15
HORN8,H,6,5.8,6.8,110,-83.90774177918668,-62.55312860991334,-21.354613169273343,15
HORN8,H,6,5.8,6.8,120,-87.75954463574666,-62.55312860991334,-25.206416025833327,15
HORN8,H,6,5.8,6.8,130,-85.98490066871332,-62.55312860991334,-23.431772058799986,15
HORN8,H,6,5.8,6.8,140,-86.64065707807335,-62.55312860991334,-24.08752846816001,15
HORN8,H,6,5.8,6.8,150,-86.13131088838666,-62.55312860991334,-23.578182278473328,15
HORN8,H,6,5.8,6.8,160,-87.04847572526666,-62.55312860991334,-24.49534711535332,15
HORN8,H,6,5.8,6.8,170,-89.12558218965334,-62.55312860991334,-26.572453579740007,15
HORN8,H,6,5.8,6.8,180,-88.61625682380668,-62.55312860991334,-26.063128213893343,15
HORN1,H,7,6.8,7.8,0,-51.510448902275,-51.510448902275,0.0,16
HORN1,H,7,6.8,7.8,10,-51.88943579339375,-51.510448902275,-0.3789868911187497,16
HORN1,H,7,6.8,7.8,20,-53.002702343450004,-51.510448902275,-1.4922534411750021,16
HORN1,H,7,6.8,7.8,30,-55.13346685674375,-51.510448902275,-3.62301795446875,16
HORN1,H,7,6.8,7.8,40,-57.280983444168754,-51.510448902275,-5.770534541893753,16
HORN1,H,7,6.8,7.8,50,-59.973896203756254,-51.510448902275,-8.463447301481253,16
HORN1,H,7,6.8,7.8,60,-62.411993495512505,-51.510448902275,-10.901544593237503,16
HORN1,H,7,6.8,7.8,70,-65.7099279051625,-51.510448902275,-14.1994790028875,16
HORN1,H,7,6.8,7.8,80,-68.99204965133124,-51.510448902275,-17.48160074905624,16
HORN1,H,7,6.8,7.8,90,-72.06828125466875,-51.510448902275,-20.557832352393746,16
HORN1,H,7,6.8,7.8,100,-74.81830759113748,-51.510448902275,-23.30785868886248,16
HORN1,H,7,6.8,7.8,110,-74.07839993510626,-51.510448902275,-22.56795103283126,16
HORN1,H,7,6.8,7.8,120,-75.30281733084375,-51.510448902275,-23.79236842856875,16
HORN1,H,7,6.8,7.8,130,-75.7397184151875,-51.510448902275,-24.229269512912495,16
HORN1,H,7,6.8,7.8,140,-75.949879989575,-51.510448902275,-24.439431087299994,16
HORN1,H,7,6.8,7.8,150,-75.19497201680625,-51.510448902275,-23.684523114531245,16
HORN1,H,7,6.8,7.8,160,-77.49061578488124,-51.510448902275,-25.98016688260624,16
HORN1,H,7,6.8,7.8,170,-77.73904466613749,-51.510448902275,-26.228595763862486,16
HORN1,H,7,6.8,7.8,180,-80.98216561179999,-51.510448902275,-29.471716709524983,16
HORN2,H,7,6.8,7.8,0,-57.720931033300005,-57.720931033300005,0.0,16
HORN2,H,7,6.8,7.8,10,-57.91803462731875,-57.720931033300005,-0.197103594018742,16
HORN2,H,7,6.8,7.8,20,-58.90228177615,-57.720931033300005,-1.1813507428499932,16
HORN2,H,7,6.8,7.8,30,-61.01126159249375,-57.720931033300005,-3.290330559193748,16
HORN2,H,7,6.8,7.8,40,-62.4561658731125,-57.720931033300005,-4.735234839812492,16
HORN2,H,7,6.8,7.8,50,-65.58436749028124,-57.720931033300005,-7.863436456981233,16
HORN2,H,7,6.8,7.8,60,-69.86194840215626,-57.720931033300005,-12.141017368856254,16
HORN2,H,7,6.8,7.8,70,-69.77481592534374,-57.720931033300005,-12.05388489204374,16
HORN2,H,7,6.8,7.8,80,-72.77019539803749,-57.720931033300005,-15.049264364737482,16
HORN2,H,7,6.8,7.8,90,-75.323114300475,-57.720931033300005,-17.602183267174993,16
HORN2,H,7,6.8,7.8,100,-78.41651166825625,-57.720931033300005,-20.695580634956244,16
HORN2,H,7,6.8,7.8,110,-77.4075548773875,-57.720931033300005,-19.686623844087492,16
HORN2,H,7,6.8,7.8,120,-77.796068117025,-57.720931033300005,-20.075137083724997,16
HORN2,H,7,6.8,7.8,130,-83.03240959175,-57.720931033300005,-25.31147855844999,16
HORN2,H,7,6.8,7.8,140,-79.2598124297,-57.720931033300005,-21.5388813964,16
HORN2,H,7,6.8,7.8,150,-79.79779265031874,-57.720931033300005,-22.076861617018736,16
HORN2,H,7,6.8,7.8,160,-78.73377886692501,-57.720931033300005,-21.012847833625003,16
HORN2,H,7,6.8,7.8,170,-82.3552407206125,-57.720931033300005,-24.634309687312495,16
HORN2,H,7,6.8,7.8,180,-81.0808339138625,-57.720931033300005,-23.3599028805625,16
HORN3,H,7,6.8,7.8,0,-56.820852260737496,-56.820852260737496,0.0,16
HORN3,H,7,6.8,7.8,10,-57.0894256523875,-56.820852260737496,-0.26857339165000127,16
HORN3,H,7,6.8,7.8,20,-58.2046343422125,-56.820852260737496,-1.3837820814750046,16
HORN3,H,7,6.8,7.8,30,-59.9521357714,-56.820852260737496,-3.131283510662506,16
HORN3,H,7,6.8,7.8,40,-62.11181477815,-56.820852260737496,-5.290962517412503,16
HORN3,H,7,6.8,7.8,50,-64.86930373548749,-56.820852260737496,-8.048451474749996,16
HORN3,H,7,6.8,7.8,60,-67.92928746575,-56.820852260737496,-11.108435205012498,16
HORN3,H,7,6.8,7.8,70,-70.56400569615626,-56.820852260737496,-13.743153435418762,16
HORN3,H,7,6.8,7.8,80,-73.3046673500125,-56.820852260737496,-16.483815089274998,16
HORN3,H,7,6.8,7.8,90,-76.03882478745,-56.820852260737496,-19.2179725267125,16
HORN3,H,7,6.8,7.8,100,-77.84807110561876,-56.820852260737496,-21.02721884488126,16
HORN3,H,7,6.8,7.8,110,-78.09719102362502,-56.820852260737496,-21.27633876288752,16
HORN3,H,7,6.8,7.8,120,-80.74295537556876,-56.820852260737496,-23.92210311483126,16
HORN3,H,7,6.8,7.8,130,-81.59504539516874,-56.820852260737496,-24.774193134431243,16
HORN3,H,7,6.8,7.8,140,-82.36789009443125,-56.820852260737496,-25.54703783369375,16
HORN3,H,7,6.8,7.8,150,-81.51978768448126,-56.820852260737496,-24.698935423743762,16
HORN3,H,7,6.8,7.8,160,-82.40897761605625,-56.820852260737496,-25.588125355318752,16
HORN3,H,7,6.8,7.8,170,-84.5965499342,-56.820852260737496,-27.775697673462503,16
HORN3,H,7,6.8,7.8,180,-84.5306326901875,-56.820852260737496,-27.709780429450007,16
HORN4,H,7,6.8,7.8,0,-59.5856173891375,-59.5856173891375,0.0,16
HORN4,H,7,6.8,7.8,10,-60.0404924855125,-59.5856173891375,-0.45487509637500523,16
HORN4,H,7,6.8,7.8,20,-60.704165797849996,-59.5856173891375,-1.118548408712499,16
HORN4,H,7,6.8,7.8,30,-62.2580795327,-59.5856173891375,-2.6724621435625053,16
HORN4,H,7,6.8,7.8,40,-65.36005888234375,-59.5856173891375,-5.774441493206254,16
HORN4,H,7,6.8,7.8,50,-67.264128218,-59.5856173891375,-7.6785108288625,16
HORN4,H,7,6.8,7.8,60,-69.5272900749375,-59.5856173891375,-9.9416726858,16
HORN4,H,7,6.8,7.8,70,-73.68861622770001,-59.5856173891375,-14.102998838562513,16
HORN4,H,7,6.8,7.8,80,-75.42181401511874,-59.5856173891375,-15.836196625981245,16
HORN4,H,7,6.8,7.8,90,-78.93555325601875,-59.5856173891375,-19.349935866881253,16
HORN4,H,7,6.8,7.8,100,-81.33380303053124,-59.5856173891375,-21.748185641393746,16
HORN4,H,7,6.8,7.8,110,-81.27428311805625,-59.5856173891375,-21.68866572891875,16
HORN4,H,7,6.8,7.8,120,-83.23244098006874,-59.5856173891375,-23.64682359093125,16
HORN4,H,7,6.8,7.8,130,-83.18233073103124,-59.5856173891375,-23.596713341893746,16
HORN4,H,7,6.8,7.8,140,-82.70410680108125,-59.5856173891375,-23.118489411943756,16
HORN4,H,7,6.8,7.8,150,-83.51512480508751,-59.5856173891375,-23.929507415950013,16
HORN4,H,7,6.8,7.8,160,-82.64841716450002,-59.5856173891375,-23.06279977536252,16
HORN4,H,7,6.8,7.8,170,-83.9363753302875,-59.5856173891375,-24.350757941150007,16
HORN4,H,7,6.8,7.8,180,-85.8792728791125,-59.5856173891375,-26.29365548997501,16
HORN5,H,7,6.8,7.8,0,-60.915573556431255,-60.915573556431255,0.0,16
HORN5,H,7,6.8,7.8,10,-61.078709921056245,-60.915573556431255,-0.16313636462498948,16
HORN5,H,7,6.8,7.8,20,-61.8717349501875,-60.915573556431255,-0.956161393756247,16
HORN5,H,7,6.8,7.8,30,-63.6187986849125,-60.915573556431255,-2.703225128481243,16
HORN5,H,7,6.8,7.8,40,-65.927259442475,-60.915573556431255,-5.01168588604375,16
HORN5,H,7,6.8,7.8,50,-68.23058532651875,-60.915573556431255,-7.315011770087494,16
HORN5,H,7,6.8,7.8,60,-70.9319468549875,-60.915573556431255,-10.016373298556246,16
HORN5,H,7,6.8,7.8,70,-74.15684603898751,-60.915573556431255,-13.241272482556255,16
HORN5,H,7,6.8,7.8,80,-75.48109025011249,-60.915573556431255,-14.565516693681232,16
HORN5,H,7,6.8,7.8,90,-78.16570654061249,-60.915573556431255,-17.250132984181235,16
HORN5,H,7,6.8,7.8,100,-81.3910842756375,-60.915573556431255,-20.47551071920624,16
HORN5,H,7,6.8,7.8,110,-80.14278901718124,-60.915573556431255,-19.22721546074999,16
HORN5,H,7,6.8,7.8,120,-82.56777372518125,-60.915573556431255,-21.65220016875,16
HORN5,H,7,6.8,7.8,130,-83.88880132803749,-60.915573556431255,-22.973227771606233,16
HORN5,H,7,6.8,7.8,140,-84.12751869451876,-60.915573556431255,-23.2119451380875,16
HORN5,H,7,6.8,7.8,150,-82.80498354585626,-60.915573556431255,-21.889409989425005,16
HORN5,H,7,6.8,7.8,160,-81.765932688725,-60.915573556431255,-20.850359132293747,16
HORN5,H,7,6.8,7.8,170,-84.5564496531625,-60.915573556431255,-23.640876096731247,16
HORN5,H,7,6.8,7.8,180,-84.6678872317125,-60.915573556431255,-23.752313675281243,16
HORN6,H,7,6.8,7.8,0,-62.70421823146875,-62.70421823146875,0.0,16
HORN6,H,7,6.8,7.8,10,-62.97073864220624,-62.70421823146875,-0.2665204107374919,16
HORN6,H,7,6.8,7.8,20,-63.45977545484375,-62.70421823146875,-0.7555572233749999,16
HORN6,H,7,6.8,7.8,30,-65.155915580625,-62.70421823146875,-2.4516973491562553,16
HORN6,H,7,6.8,7.8,40,-68.28365849190625,-62.70421823146875,-5.579440260437501,16
HORN6,H,7,6.8,7.8,50,-69.74987944873125,-62.70421823146875,-7.045661217262499,16
HORN6,H,7,6.8,7.8,60,-73.06807030815625,-62.70421823146875,-10.3638520766875,16
HORN6,H,7,6.8,7.8,70,-77.03513818474374,-62.70421823146875,-14.330919953274993,16
HORN6,H,7,6.8,7.8,80,-76.51758408758751,-62.70421823146875,-13.813365856118757,16
HORN6,H,7,6.8,7.8,90,-80.64268532075624,-62.70421823146875,-17.938467089287492,16
HORN6,H,7,6.8,7.8,100,-81.09739378038125,-62.70421823146875,-18.393175548912502,16
HORN6,H,7,6.8,7.8,110,-81.39638658918125,-62.70421823146875,-18.692168357712497,16
HORN6,H,7,6.8,7.8,120,-84.95901614543126,-62.70421823146875,-22.254797913962513,16
HORN6,H,7,6.8,7.8,130,-82.13425237874999,-62.70421823146875,-19.43003414728124,16
HORN6,H,7,6.8,7.8,140,-82.05598715408124,-62.70421823146875,-19.351768922612486,16
HORN6,H,7,6.8,7.8,150,-85.20661619307499,-62.70421823146875,-22.502397961606242,16
HORN6,H,7,6.8,7.8,160,-82.21622013590625,-62.70421823146875,-19.512001904437504,16
HORN6,H,7,6.8,7.8,170,-82.76381510590625,-62.70421823146875,-20.059596874437496,16
HORN6,H,7,6.8,7.8,180,-85.99109984965625,-62.70421823146875,-23.2868816181875,16
HORN7,H,7,6.8,7.8,0,-62.86018218835,-62.86018218835,0.0,16
HORN7,H,7,6.8,7.8,10,-63.14181549516249,-62.86018218835,-0.28163330681248766,16
HORN7,H,7,6.8,7.8,20,-63.7477896247,-62.86018218835,-0.8876074363499953,16
HORN7,H,7,6.8,7.8,30,-65.7347533094875,-62.86018218835,-2.8745711211374996,16
HORN7,H,7,6.8,7.8,40,-68.12087832676875,-62.86018218835,-5.260696138418744,16
HORN7,H,7,6.8,7.8,50,-69.851496775975,-62.86018218835,-6.991314587624991,16
HORN7,H,7,6.8,7.8,60,-72.08831788628751,-62.86018218835,-9.22813569793751,16
HORN7,H,7,6.8,7.8,70,-75.88247305389999,-62.86018218835,-13.022290865549984,16
HORN7,H,7,6.8,7.8,80,-75.729873087525,-62.86018218835,-12.86969089917499,16
HORN7,H,7,6.8,7.8,90,-82.26203321098751,-62.86018218835,-19.40185102263751,16
HORN7,H,7,6.8,7.8,100,-81.97836390807501,-62.86018218835,-19.11818171972501,16
HORN7,H,7,6.8,7.8,110,-79.86971987580625,-62.86018218835,-17.009537687456252,16
HORN7,H,7,6.8,7.8,120,-83.75910103506251,-62.86018218835,-20.89891884671251,16
HORN7,H,7,6.8,7.8,130,-80.59113131578125,-62.86018218835,-17.730949127431252,16
HORN7,H,7,6.8,7.8,140,-85.00853792905001,-62.86018218835,-22.148355740700005,16
HORN7,H,7,6.8,7.8,150,-83.46650626545625,-62.86018218835,-20.606324077106244,16
HORN7,H,7,6.8,7.8,160,-81.17641093825625,-62.86018218835,-18.31622874990625,16
HORN7,H,7,6.8,7.8,170,-84.54218638945,-62.86018218835,-21.682004201099993,16
HORN7,H,7,6.8,7.8,180,-86.168289507475,-62.86018218835,-23.308107319124993,16
