Plane,Frequency_GHz,Band_Low_GHz,Band_High_GHz,Angle_Deg,Ensemble_Mean_Normalized_S21_dB,Ensemble_SD_dB,N_Horns
E,17,16.8,17.8,40,-17.835853111336665,1.9491466715515273,8
E,17,16.8,17.8,50,-18.89909785001,3.3056047287442083,8
E,17,16.8,17.8,60,-19.260839356895833,2.7251341456884437,8
E,17,16.8,17.8,70,-18.551435270541667,2.894148081125739,8
E,17,16.8,17.8,80,-19.01798534037917,2.9999266226090215,8
E,17,16.8,17.8,90,-18.3405733758025,2.7306972378509635,8
E,17,16.8,17.8,100,-18.419797376587493,2.8400226262012493,8
E,17,16.8,17.8,110,-18.554924936248327,3.794345083444704,8
E,17,16.8,17.8,120,-18.615228915031658,3.3112128890761894,8
E,17,16.8,17.8,130,-18.395533079741668,3.262016558369014,8
E,17,16.8,17.8,140,-20.435948391519165,3.7873963508158304,8
E,17,16.8,17.8,150,-19.277845091669995,3.625460673398372,8
E,17,16.8,17.8,160,-19.995341886977506,4.133951929422827,8
E,17,16.8,17.8,170,-18.935440387373333,3.909086451617294,8
E,17,16.8,17.8,180,-19.230867401464995,3.327507092102037,8
E,18,17.8,18.8,0,0.0,0.0,8
E,18,17.8,18.8,10,-3.493657312162499,1.8762740801839317,8
E,18,17.8,18.8,20,-10.38195409665625,2.714537604376346,8
E,18,17.8,18.8,30,-16.006136904953124,5.7597186752973935,8
E,18,17.8,18.8,40,-17.670093503290623,6.421507708647384,8
E,18,17.8,18.8,50,-19.228921094290627,4.876544197864447,8
E,18,17.8,18.8,60,-17.228632436615626,5.282637516959052,8
E,18,17.8,18.8,70,-16.229172402246874,4.15950817159269,8
E,18,17.8,18.8,80,-18.287399560315627,4.936946423780061,8
E,18,17.8,18.8,90,-18.844111279296875,5.54932528301325,8
E,18,17.8,18.8,100,-16.742839596221877,5.855911035772941,8
E,18,17.8,18.8,110,-16.06024334844375,5.868871402158962,8
E,18,17.8,18.8,120,-15.95204827364688,5.123162998528415,8
E,18,17.8,18.8,130,-16.076846303546873,5.8217542081882785,8
E,18,17.8,18.8,140,-18.020472851015626,5.2240162926963745,8
E,18,17.8,18.8,150,-16.339146982625003,6.499751578296628,8
E,18,17.8,18.8,160,-18.567862971225,6.539042270807479,8
E,18,17.8,18.8,170,-16.364305399128128,4.905571930487754,8
E,18,17.8,18.8,180,-16.500715718496878,6.527828482721333,8
